Player,Team,Opp,Pos,G,Tgt,Rec,Yds,TD,Score,C %,aDOT,YPR,YPT,YAC,FPTS
David A. Johnson,ARZ,NE,RB,1,6,4,43,0,0,67,4,10.8,7.2,9,8.3
David A. Johnson,ARZ,TB,RB,2,5,3,98,0,0,60,9.8,32.7,19.6,24.3,12.8
Chris D. Johnson,ARZ,TB,RB,2,0,0,0,0,0,-,-,-,-,-,0
David A. Johnson,ARZ,BUF,RB,3,4,3,28,0,0,75,2.5,9.3,7,7,5.8
David A. Johnson,ARZ,LA,RB,4,4,4,41,0,0,100,2,10.3,10.3,8.3,8.1
Chris D. Johnson,ARZ,LA,RB,4,1,0,0,0,0,-,3,-,-,-,0
David A. Johnson,ARZ,SF,RB,5,6,3,28,0,0,50,3.7,9.3,4.7,7.7,5.8
Stepfan Taylor,ARZ,SF,RB,5,0,0,0,0,0,-,-,-,-,-,0
David A. Johnson,ARZ,NYJ,RB,6,5,3,27,0,0,60,2.8,9,5.4,8.3,5.7
Stepfan Taylor,ARZ,NYJ,RB,6,0,0,0,0,0,-,-,-,-,-,0
David A. Johnson,ARZ,SEA,RB,7,11,8,58,0,0,73,5.2,7.3,5.3,5.6,13.8
David A. Johnson,ARZ,CAR,RB,8,9,7,84,0,0,78,0.4,12,9.3,12.6,15.4
Andre Ellington,ARZ,CAR,RB,8,1,1,16,0,0,100,-,16,16,16,2.6
David A. Johnson,ARZ,SF,RB,10,6,5,46,1,1,83,4.2,9.2,7.7,5,15.6
Andre Ellington,ARZ,SF,RB,10,0,0,0,0,0,-,-,-,-,-,0
David A. Johnson,ARZ,MIN,RB,11,10,7,57,1,1,70,4.7,8.1,5.7,4,18.7
Andre Ellington,ARZ,MIN,RB,11,2,1,2,0,0,50,-2,2,1,7,1.2
David A. Johnson,ARZ,ATL,RB,12,10,8,103,1,1,80,3.7,12.9,10.3,9.3,27.3
Andre Ellington,ARZ,ATL,RB,12,5,2,19,0,0,40,5.2,9.5,3.8,1.5,3.9
David A. Johnson,ARZ,WAS,RB,13,11,9,91,1,1,82,5.7,10.1,8.3,7.4,24.1
Andre Ellington,ARZ,WAS,RB,13,1,1,10,0,0,100,10,10,10,-,2
David A. Johnson,ARZ,MIA,RB,14,6,5,41,0,0,83,3,8.2,6.8,6.6,9.1
Kerwynn Williams,ARZ,MIA,RB,14,0,0,0,0,0,-,-,-,-,-,0
David A. Johnson,ARZ,NO,RB,15,5,4,57,0,0,80,6.8,14.3,11.4,6.8,9.7
Kerwynn Williams,ARZ,NO,RB,15,0,0,0,0,0,-,-,-,-,-,0
David A. Johnson,ARZ,SEA,RB,16,5,4,41,0,0,80,7.6,10.3,8.2,6.5,8.1
Kerwynn Williams,ARZ,SEA,RB,16,1,1,6,0,0,100,-1,6,6,7,1.6
Andre Ellington,ARZ,LA,RB,17,2,2,8,0,0,100,-2,4,4,6,2.8
Kerwynn Williams,ARZ,LA,RB,17,1,0,0,0,0,-,2,-,-,-,0
Tevin Coleman,ATL,TB,RB,1,6,5,95,0,0,83,-0.3,19,15.8,20.2,14.5
Devonta Freeman,ATL,TB,RB,1,4,4,20,0,0,100,-1.3,5,5,6.3,6
Patrick DiMarco,ATL,TB,RB,1,1,1,8,0,0,100,3,8,8,5,1.8
Tevin Coleman,ATL,OAK,RB,2,2,2,25,0,0,100,-,12.5,12.5,12.5,4.5
Devonta Freeman,ATL,OAK,RB,2,0,0,0,0,0,-,-,-,-,-,0
Devonta Freeman,ATL,NO,RB,3,5,5,55,1,1,100,2.8,11,11,8.2,16.5
Tevin Coleman,ATL,NO,RB,3,3,3,56,0,0,100,-1.3,18.7,18.7,17,8.6
Tevin Coleman,ATL,CAR,RB,4,4,3,14,0,0,75,1,4.7,3.5,4.3,4.4
Devonta Freeman,ATL,CAR,RB,4,3,2,7,0,0,67,-0.7,3.5,2.3,5.5,2.7
Patrick DiMarco,ATL,CAR,RB,4,2,1,18,0,0,50,1.5,18,9,12,2.8
Tevin Coleman,ATL,DEN,RB,5,5,4,132,1,1,80,10.4,33,26.4,19,26.2
Devonta Freeman,ATL,DEN,RB,5,3,3,35,0,0,100,5,11.7,11.7,6.7,6.5
Patrick DiMarco,ATL,DEN,RB,5,1,1,13,0,0,100,4,13,13,9,2.3
Devonta Freeman,ATL,SEA,RB,6,5,3,10,0,0,60,4,3.3,2,3.7,4
Tevin Coleman,ATL,SEA,RB,6,2,1,7,0,0,50,-0.5,7,3.5,13,1.7
Patrick DiMarco,ATL,SEA,RB,6,1,1,3,0,0,100,2,3,3,1,1.3
Devonta Freeman,ATL,SD,RB,7,6,5,42,0,0,83,3.3,8.4,7,6.2,9.2
Patrick DiMarco,ATL,SD,RB,7,1,1,3,0,0,100,3,3,3,-,1.3
Devonta Freeman,ATL,GB,RB,8,5,4,23,1,1,80,-1.6,5.8,4.6,6.5,12.3
Terron Ward,ATL,GB,RB,8,1,1,11,0,0,100,3,11,11,8,2.1
Devonta Freeman,ATL,TB,RB,9,2,2,28,0,0,100,-,14,14,14,4.8
Patrick DiMarco,ATL,TB,RB,9,1,1,1,1,1,100,2,1,1,-,7.1
Terron Ward,ATL,TB,RB,9,0,0,0,0,0,-,-,-,-,-,0
Devonta Freeman,ATL,PHI,RB,10,3,3,32,0,0,100,0.7,10.7,10.7,10,6.2
Devonta Freeman,ATL,ARZ,RB,12,3,2,17,0,0,67,1,8.5,5.7,10,3.7
Tevin Coleman,ATL,ARZ,RB,12,2,2,4,0,0,100,0.5,2,2,1.5,2.4
