Player,Team,Opp,Pos,G,Tgt,Rec,Yds,TD,Score,C %,aDOT,YPR,YPT,YAC,FPTS
Larry Fitzgerald,ARZ,NE,WR,1,9,8,81,2,1,89,8.8,10.1,9,3.1,28.1
Michael Floyd,ARZ,NE,WR,1,7,3,61,0,0,43,15.6,20.3,8.7,4.7,9.1
John Brown,ARZ,NE,WR,1,4,1,8,0,0,25,20,8,2,1,1.8
Jaron Brown,ARZ,NE,WR,1,2,1,18,0,0,50,13.5,18,9,1,2.8
Larry Fitzgerald,ARZ,TB,WR,2,10,5,81,1,1,50,13.4,16.2,8.1,1.8,19.1
Michael Floyd,ARZ,TB,WR,2,6,2,8,1,1,33,17.2,4,1.3,-,8.8
Jaron Brown,ARZ,TB,WR,2,2,2,78,1,1,100,29,39,39,10,15.8
John Brown,ARZ,TB,WR,2,2,1,14,0,0,50,14.5,14,7,-,2.4
Larry Fitzgerald,ARZ,BUF,WR,3,11,7,60,0,0,64,6.9,8.6,5.5,3,13
John Brown,ARZ,BUF,WR,3,11,6,70,0,0,55,16.7,11.7,6.4,1.8,13
Michael Floyd,ARZ,BUF,WR,3,10,4,65,0,0,40,16.7,16.3,6.5,2,10.5
Jaron Brown,ARZ,BUF,WR,3,7,3,49,0,0,43,18.1,16.3,7,8.3,7.9
John Brown,ARZ,LA,WR,4,14,10,144,0,0,71,13.4,14.4,10.3,4.3,27.4
Larry Fitzgerald,ARZ,LA,WR,4,7,5,63,0,0,71,12.6,12.6,9,6.2,11.3
Michael Floyd,ARZ,LA,WR,4,7,3,36,1,1,43,15.1,12,5.1,0.7,12.6
Jaron Brown,ARZ,LA,WR,4,5,1,7,0,0,20,13.2,7,1.4,-,1.7
Larry Fitzgerald,ARZ,SF,WR,5,8,6,81,2,1,75,9.9,13.5,10.1,2.7,26.1
John Brown,ARZ,SF,WR,5,4,1,11,0,0,25,19,11,2.8,8,2.1
Jaron Brown,ARZ,SF,WR,5,3,0,0,0,0,-,16.3,-,-,-,0
Michael Floyd,ARZ,SF,WR,5,3,0,0,0,0,-,19.3,-,-,-,0
Larry Fitzgerald,ARZ,NYJ,WR,6,8,6,49,0,0,75,8.1,8.2,6.1,2.8,10.9
John Brown,ARZ,NYJ,WR,6,7,5,54,0,0,71,10.6,10.8,7.7,0.2,10.4
Jaron Brown,ARZ,NYJ,WR,6,5,4,35,0,0,80,5.8,8.8,7,2.3,7.5
Michael Floyd,ARZ,NYJ,WR,6,2,2,22,1,1,100,15,11,11,-,10.2
Larry Fitzgerald,ARZ,SEA,WR,7,14,9,70,0,0,64,8.6,7.8,5,4.2,16
J.J. Nelson,ARZ,SEA,WR,7,7,3,84,0,0,43,27,28,12,13.7,11.4
Michael Floyd,ARZ,SEA,WR,7,7,5,65,0,0,71,11.3,13,9.3,1.8,11.5
Brittan Golden,ARZ,SEA,WR,7,1,0,0,0,0,-,8,-,-,-,0
Larry Fitzgerald,ARZ,CAR,WR,8,11,10,74,0,0,91,5.1,7.4,6.7,2.8,17.4
J.J. Nelson,ARZ,CAR,WR,8,10,8,79,2,1,80,14,9.9,7.9,0.8,27.9
John Brown,ARZ,CAR,WR,8,4,4,49,1,1,100,7.3,12.3,12.3,5,14.9
Brittan Golden,ARZ,CAR,WR,8,2,2,29,0,0,100,11,14.5,14.5,3.5,4.9
Larry Fitzgerald,ARZ,SF,WR,10,18,12,132,0,0,67,7.4,11,7.3,4.4,28.2
J.J. Nelson,ARZ,SF,WR,10,6,2,29,0,0,33,28.7,14.5,4.8,3,4.9
Michael Floyd,ARZ,SF,WR,10,6,5,101,0,0,83,20.3,20.2,16.8,0.6,18.1
John Brown,ARZ,SF,WR,10,4,2,30,0,0,50,15.5,15,7.5,1,5
Larry Fitzgerald,ARZ,MIN,WR,11,7,6,63,0,0,86,9.1,10.5,9,1.2,12.3
J.J. Nelson,ARZ,MIN,WR,11,5,1,0,0,0,20,12.6,-,-,2,1
