Player,Team,Opp,Pos,G,Tgt,Rec,Yds,TD,Score,C %,aDOT,YPR,YPT,YAC,FPTS
Jermaine Gresham,ARZ,NE,TE,1,4,4,41,0,0,100,8.5,10.3,10.3,1.8,8.1
Darren Fells,ARZ,TB,TE,2,5,4,31,0,0,80,3.6,7.8,6.2,6.3,7.1
Troy Niklas,ARZ,TB,TE,2,1,0,0,0,0,-,2,-,-,-,0
Jermaine Gresham,ARZ,TB,TE,2,1,0,0,0,0,-,18,-,-,-,0
Darren Fells,ARZ,BUF,TE,3,2,2,15,0,0,100,2,7.5,7.5,5.5,3.5
Troy Niklas,ARZ,BUF,TE,3,1,1,0,0,0,100,-1,-,-,1,1
Darren Fells,ARZ,LA,TE,4,2,2,7,0,0,100,3,3.5,3.5,0.5,2.7
Jermaine Gresham,ARZ,LA,TE,4,1,0,0,0,0,-,11,-,-,-,0
Jermaine Gresham,ARZ,SF,TE,5,1,1,4,0,0,100,3,4,4,1,1.4
Hakeem Valles,ARZ,SF,TE,5,1,0,0,0,0,-,12,-,-,-,0
Jermaine Gresham,ARZ,NYJ,TE,6,2,1,14,0,0,50,10.5,14,7,2,2.4
Darren Fells,ARZ,NYJ,TE,6,1,1,8,0,0,100,4,8,8,4,1.8
Jermaine Gresham,ARZ,SEA,TE,7,4,2,15,0,0,50,7.5,7.5,3.8,5.5,3.5
Ifeanyi Momah,ARZ,SEA,TE,7,2,2,50,0,0,100,19,25,25,6,7
Jermaine Gresham,ARZ,CAR,TE,8,5,3,32,0,0,60,11.4,10.7,6.4,3.7,6.2
Ifeanyi Momah,ARZ,CAR,TE,8,1,0,0,0,0,-,8,-,-,-,0
Jermaine Gresham,ARZ,SF,TE,10,6,4,38,0,0,67,5.2,9.5,6.3,3.8,7.8
Jermaine Gresham,ARZ,MIN,TE,11,2,2,33,1,1,100,8.5,16.5,16.5,8,11.3
Jermaine Gresham,ARZ,ATL,TE,12,9,5,35,1,1,56,9.3,7,3.9,1.2,14.5
Jermaine Gresham,ARZ,WAS,TE,13,6,5,52,0,0,83,4,10.4,8.7,5.8,10.2
Darren Fells,ARZ,WAS,TE,13,1,1,9,0,0,100,6,9,9,3,1.9
Jermaine Gresham,ARZ,MIA,TE,14,7,5,45,0,0,71,5.7,9,6.4,4.6,9.5
Darren Fells,ARZ,MIA,TE,14,2,1,12,0,0,50,4.5,12,6,8,2.2
Jermaine Gresham,ARZ,NO,TE,15,4,3,42,0,0,75,8.5,14,10.5,3.3,7.2
Jermaine Gresham,ARZ,SEA,TE,16,4,2,40,0,0,50,11,20,10,6.5,6
Darren Fells,ARZ,LA,TE,17,2,1,37,1,1,50,17,37,18.5,17,10.7
Jermaine Gresham,ARZ,LA,TE,17,1,0,0,0,0,-,3,-,-,-,0
Jacob Tamme,ATL,TB,TE,1,7,6,51,0,0,86,6.7,8.5,7.3,2.3,11.1
Austin Hooper,ATL,TB,TE,1,1,1,14,0,0,100,14,14,14,-,2.4
